id,fecha,pan_frances,galletitas_dulces,galletitas_de_agua,harina_de_trigo,harina_de_maiz,arroz,fideos_secos,asado,carnaza_comun,hueso_con_carne,paleta,carne_picada,nalga,higado,pechito_de_cerdo,pollo,carne_de_pescado,mortadela,paleta_cocida,salchichÂ¢n,salame,aceite_de_girasol,margarina_para_cocinar,leche_fluida,leche_en_polvo_entera,queso_crema,queso_cuartirolo,queso_de_rallar,manteca,yogur,dulce_de_leche,huevo,manzana,naranja,banana,pera,batata,papa,acelga,cebolla,choclo,lechuga,tomate_perita,zanahoria,zapallo,tomate_envasado,arvejas_en_lata,lentejas_secas,azucar,dulce_de_batata,mermelada,sal_fina,mayonesa,vinagre,caldo_concentrado,gaseosas,jugos_concentrados,soda,cerveza,vino,cafe,yerba,te_en_saquitos
1,2023-02-17,995.14,192.49,339.49,201.75,221.92,199.0,344.48,1599.9,1049.9,529.9,1499.9,1349.9,1749.9,299.9,999.9,415.9,1499.0,1185.0,1850.0,1285.0,2660.0,556.92,268.45,215.28,1439.49,234.87,1399.0,2579.0,1542.75,218.0,527.02,1053.0,499.0,369.0,299.0,279.0,359.0,239.0,239.0,299.0,169.0,799.0,399.0,199.0,189.0,595.12,458.04,857.92,273.0,726.0,563.23,306.5,620.63,148.47,935.87,87.04,217.73,104.48,161.64,440.0,830.58,770.85,418.56
11,2023-02-18,995.14,192.49,339.49,201.75,221.92,199.0,344.48,1599.9,1049.9,529.9,1499.9,1349.9,1749.9,299.9,999.9,415.9,1499.0,1185.0,1850.0,1285.0,2660.0,556.92,268.45,234.66,1439.49,256.01,1399.0,2579.0,1542.75,218.0,574.45,1053.0,449.0,399.0,299.0,279.0,359.0,239.0,239.0,299.0,169.0,749.0,349.0,199.0,189.0,595.12,458.04,986.6,273.0,726.0,563.23,306.5,620.63,174.03,935.87,87.04,217.73,104.48,161.64,440.0,830.58,770.85,418.56
14,2023-02-20,995.14,192.49,339.49,201.75,221.92,199.0,344.48,1599.9,1049.9,529.9,1499.9,999.9,1749.9,299.9,999.9,415.9,1499.0,1480.0,1850.0,1285.0,2660.0,556.92,268.45,234.66,1439.49,256.01,979.0,2579.0,1542.75,218.0,574.45,1053.0,449.0,399.0,299.0,279.0,299.0,319.0,239.0,299.0,199.0,749.0,349.0,199.0,189.0,595.12,458.04,986.6,273.0,726.0,563.23,306.5,620.63,174.03,935.87,87.04,217.73,104.48,161.64,440.0,830.58,770.85,418.56
15,2023-02-21,995.14,192.49,339.49,201.75,221.92,199.0,344.48,1599.9,1049.9,529.9,1499.9,999.9,1749.9,299.9,999.9,415.9,1499.0,1480.0,1850.0,1285.0,2660.0,556.92,268.45,234.66,1439.49,256.01,979.0,2579.0,1542.75,218.0,574.45,1053.0,449.0,399.0,299.0,279.0,299.0,319.0,239.0,299.0,199.0,749.0,349.0,199.0,189.0,595.12,458.04,986.6,273.0,726.0,563.23,306.5,620.63,174.03,935.87,87.04,217.73,104.48,161.64,440.0,830.58,770.85,418.56
16,2023-02-22,995.14,192.49,339.49,201.75,221.92,199.0,344.48,1599.9,1049.9,529.9,1499.9,999.9,1749.9,299.9,999.9,415.9,1499.0,1480.0,1850.0,1285.0,2660.0,556.92,268.45,234.66,1439.49,256.01,979.0,2579.0,1542.75,218.0,574.45,1053.0,449.0,399.0,389.0,279.0,299.0,319.0,239.0,299.0,199.0,749.0,349.0,199.0,189.0,595.12,458.04,986.6,273.0,726.0,563.23,306.5,620.63,174.03,935.87,87.04,217.73,104.48,161.64,440.0,830.58,770.85,418.56
17,2023-02-23,995.14,192.49,339.49,201.7,221.92,199.0,344.48,1599.9,1049.9,529.9,1499.9,999.9,1749.9,299.9,999.9,415.9,1499.0,1480.0,1850.0,1285.0,2660.0,556.92,268.45,234.66,1439.49,256.01,979.0,2579.0,1542.75,218.0,713.37,1053.0,449.0,399.0,389.0,279.0,299.0,239.0,239.0,229.0,199.0,799.0,349.0,249.0,189.0,595.12,458.04,1085.25,273.0,726.0,563.23,306.5,620.63,174.03,935.87,87.04,217.73,104.48,161.64,440.0,830.58,770.85,418.56
18,2023-02-24,995.14,192.49,339.49,201.7,221.92,199.0,344.48,1599.9,1049.9,529.9,1499.9,999.9,1749.9,299.9,999.9,415.9,1590.0,1480.0,1850.0,1285.0,2660.0,556.92,268.45,234.66,1439.49,256.01,979.0,2579.0,1542.75,218.0,713.37,1053.0,449.0,399.0,389.0,279.0,299.0,239.0,239.0,229.0,249.0,799.0,399.0,279.0,189.0,595.12,458.04,1085.25,273.0,726.0,563.23,306.5,620.63,174.03,935.87,87.04,217.73,104.48,161.64,440.0,830.58,770.85,418.56
19,2023-02-25,995.14,192.49,339.49,201.7,221.92,199.0,344.48,1599.9,1049.9,529.9,1499.9,999.9,1749.9,299.9,999.9,415.9,1590.0,1480.0,1850.0,1285.0,2660.0,556.92,268.45,234.66,1439.49,256.01,979.0,2579.0,1542.75,218.0,713.37,1053.0,449.0,399.0,389.0,279.0,299.0,239.0,239.0,229.0,249.0,799.0,399.0,279.0,189.0,595.12,458.04,1085.25,273.0,726.0,563.23,306.5,620.63,174.03,935.87,87.04,217.73,104.48,161.64,440.0,830.6,770.8,418.6
20,2023-02-26,995.14,192.49,339.49,201.7,221.92,199.0,344.48,1599.9,1049.9,529.9,1499.9,999.9,1749.9,299.9,999.9,415.9,1590.0,1480.0,1850.0,1285.0,2660.0,556.92,268.45,234.66,1439.49,256.01,979.0,2579.0,1542.75,218.0,713.37,1053.0,449.0,399.0,389.0,279.0,299.0,239.0,239.0,229.0,249.0,799.0,399.0,279.0,189.0,595.12,458.04,1085.25,273.0,726.0,563.23,306.5,620.63,174.03,935.87,87.04,217.73,104.48,161.64,440.0,830.6,770.8,418.6
21,2023-02-27,995.14,192.49,339.49,201.7,221.92,199.0,344.48,1599.9,1049.9,529.9,1499.9,999.9,1749.9,299.9,999.9,415.9,1590.0,1185.0,1850.0,1285.0,2660.0,556.92,268.45,234.66,1439.49,256.01,1399.0,2579.0,1542.75,218.0,713.37,1053.0,449.0,399.0,389.0,279.0,359.0,319.0,239.0,339.0,199.0,799.0,399.0,199.0,189.0,595.12,458.04,1085.25,273.0,726.0,563.23,306.5,620.63,174.03,935.87,87.04,217.73,104.48,161.64,440.0,830.6,770.8,418.6
22,2023-02-28,995.14,192.49,339.49,201.7,221.92,199.0,344.48,1599.9,1049.9,529.9,1499.9,999.9,1749.9,299.9,999.9,415.9,1590.0,1185.0,1850.0,1285.0,2660.0,556.92,268.45,234.66,1439.49,256.01,1399.0,2579.0,1542.75,218.0,713.37,1086.0,399.0,399.0,399.0,279.0,399.0,319.0,239.0,299.0,199.0,799.0,449.0,199.0,189.0,595.12,458.04,1085.25,273.0,726.0,563.23,306.5,620.63,174.03,935.87,87.04,217.73,104.48,161.64,440.0,830.6,770.8,418.6
